Statistische Informationssystem Berlin-Brandenburg (StatIS-BBB)

"Binnenwanderung im Land Berlin bis 2013 (1)"
"Jahre nach Herkunftsgebiet nach Zielgebiet"
"Zählen: Anzahl"

Filter:
"Datenbasis";"Anzahl"

" 2013"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2605;;3587;;2509;;1163;;1258;;1913;;1764;;600;;604;;1122;;3464;;
"02 Friedrichshain-Kreuzberg";2559;;-;;2767;;1187;;335;;785;;2092;;4238;;1283;;710;;2234;;483;;
"03 Pankow";3051;;2727;;-;;679;;333;;534;;685;;1049;;930;;992;;2478;;946;;
"04 Charlottenburg-Wilmersdorf";2451;;983;;881;;-;;1801;;2716;;2349;;1009;;313;;188;;344;;928;;
"05 Spandau";857;;344;;342;;1511;;-;;499;;671;;392;;349;;271;;400;;675;;
"06 Steglitz-Zehlendorf";1038;;637;;520;;2126;;483;;-;;3004;;885;;260;;151;;239;;380;;
"07 Tempelhof-Schöneberg";1748;;1466;;758;;2501;;716;;3341;;-;;2701;;525;;307;;417;;667;;
"08 Neukölln";1547;;2431;;731;;1016;;600;;1121;;2991;;-;;1365;;401;;567;;632;;
"09 Treptow-Köpenick";492;;759;;786;;318;;188;;286;;508;;1057;;-;;1134;;1129;;185;;
"10 Marzahn-Hellersdorf";462;;570;;1072;;217;;191;;188;;249;;253;;1398;;-;;2249;;218;;
"11 Lichtenberg";929;;1222;;1938;;374;;228;;261;;409;;554;;1364;;2604;;-;;299;;
"12 Reinickendorf";2043;;350;;1073;;784;;849;;516;;613;;516;;224;;222;;305;;-;;


" 2010"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2609;;3465;;2571;;1122;;1313;;1788;;1641;;541;;562;;1074;;3265;;
"02 Friedrichshain-Kreuzberg";2320;;-;;2646;;1040;;326;;781;;1981;;4070;;1198;;699;;2103;;506;;
"03 Pankow";2899;;2598;;-;;779;;351;;552;;659;;1009;;862;;1046;;2364;;915;;
"04 Charlottenburg-Wilmersdorf";2250;;1054;;810;;-;;1918;;2570;;2305;;885;;306;;209;;336;;868;;
"05 Spandau";1002;;358;;383;;1403;;-;;485;;663;;384;;317;;403;;406;;681;;
"06 Steglitz-Zehlendorf";925;;587;;455;;1913;;490;;-;;2670;;794;;278;;193;;257;;427;;
"07 Tempelhof-Schöneberg";1661;;1376;;706;;2415;;718;;3186;;-;;2518;;495;;330;;420;;625;;
"08 Neukölln";1598;;2351;;709;;930;;577;;930;;2778;;-;;1327;;442;;511;;652;;
"09 Treptow-Köpenick";448;;748;;712;;267;;222;;315;;416;;1002;;-;;1127;;1116;;205;;
"10 Marzahn-Hellersdorf";461;;517;;867;;239;;244;;177;;241;;277;;1245;;-;;2006;;174;;
"11 Lichtenberg";920;;1241;;2080;;421;;277;;294;;400;;557;;1279;;2625;;-;;325;;
"12 Reinickendorf";1989;;349;;960;;819;;889;;504;;579;;484;;201;;247;;327;;-;;


" 2011"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2588;;3464;;2571;;1206;;1218;;1952;;1750;;590;;782;;1106;;3664;;
"02 Friedrichshain-Kreuzberg";2654;;-;;2574;;1098;;381;;738;;2056;;4079;;1192;;713;;2103;;514;;
"03 Pankow";2811;;2624;;-;;773;;408;;571;;798;;1018;;879;;1197;;2381;;1002;;
"04 Charlottenburg-Wilmersdorf";2321;;1031;;855;;-;;1813;;2559;;2264;;917;;300;;238;;387;;938;;
"05 Spandau";987;;344;;383;;1704;;-;;458;;1011;;385;;282;;371;;650;;777;;
"06 Steglitz-Zehlendorf";1067;;659;;445;;2062;;535;;-;;2703;;845;;281;;229;;268;;420;;
"07 Tempelhof-Schöneberg";1708;;1475;;686;;2544;;684;;3149;;-;;2626;;515;;397;;442;;657;;
"08 Neukölln";1637;;2494;;793;;951;;744;;983;;2935;;-;;1397;;506;;605;;717;;
"09 Treptow-Köpenick";522;;789;;668;;269;;202;;283;;450;;1032;;-;;1215;;1055;;210;;
"10 Marzahn-Hellersdorf";492;;521;;869;;239;;218;;182;;234;;345;;1112;;-;;2062;;265;;
"11 Lichtenberg";918;;1218;;1898;;450;;311;;296;;443;;475;;1321;;2718;;-;;358;;
"12 Reinickendorf";1912;;378;;972;;817;;891;;533;;508;;489;;217;;327;;355;;-;;


" 2012"
"Zielgebiet";"01 Mitte";"01 Mitte - Anmerkungen";"02 Friedrichshain-Kreuzberg";"02 Friedrichshain-Kreuzberg - Anmerkungen";"03 Pankow";"03 Pankow - Anmerkungen";"04 Charlottenburg-Wilmersdorf";"04 Charlottenburg-Wilmersdorf - Anmerkungen";"05 Spandau";"05 Spandau - Anmerkungen";"06 Steglitz-Zehlendorf";"06 Steglitz-Zehlendorf - Anmerkungen";"07 Tempelhof-Schöneberg";"07 Tempelhof-Schöneberg - Anmerkungen";"08 Neukölln";"08 Neukölln - Anmerkungen";"09 Treptow-Köpenick";"09 Treptow-Köpenick - Anmerkungen";"10 Marzahn-Hellersdorf";"10 Marzahn-Hellersdorf - Anmerkungen";"11 Lichtenberg";"11 Lichtenberg - Anmerkungen";"12 Reinickendorf";"12 Reinickendorf - Anmerkungen";
"Herkunftsgebiet";
"01 Mitte";-;;2484;;3642;;2615;;1250;;1178;;1864;;1765;;636;;647;;1185;;3733;;
"02 Friedrichshain-Kreuzberg";2547;;-;;2680;;1113;;404;;755;;2141;;3942;;1262;;729;;2170;;552;;
"03 Pankow";2810;;2480;;-;;896;;405;;558;;774;;1039;;877;;995;;2220;;1082;;
"04 Charlottenburg-Wilmersdorf";2306;;1085;;939;;-;;1876;;2551;;2232;;992;;301;;262;;446;;966;;
"05 Spandau";876;;384;;369;;1547;;-;;468;;834;;500;;282;;332;;575;;783;;
"06 Steglitz-Zehlendorf";1074;;631;;498;;1960;;546;;-;;2687;;841;;359;;258;;330;;505;;
"07 Tempelhof-Schöneberg";1839;;1381;;739;;2466;;747;;3168;;-;;2453;;521;;400;;498;;786;;
"08 Neukölln";1637;;2636;;877;;897;;711;;1013;;2686;;-;;1640;;537;;712;;745;;
"09 Treptow-Köpenick";479;;729;;755;;285;;226;;322;;434;;981;;-;;1199;;1140;;206;;
"10 Marzahn-Hellersdorf";480;;487;;851;;224;;249;;181;;291;;272;;1115;;-;;2033;;250;;
"11 Lichtenberg";932;;1200;;1963;;523;;371;;285;;530;;527;;1233;;2807;;-;;417;;
"12 Reinickendorf";1890;;342;;1110;;830;;905;;439;;586;;486;;241;;302;;365;;-;;


Symbol;Beschreibung
"1";"Quelle: Amt für Statistik Berlin-Brandenburg Binnenwanderungen sind die Zu- und Fortzüge innerhalb der Regionaleinheiten einer Region. Die Daten entstammen der Wanderungsstatistik im Land Berlin. Sie liegen nur bis zum Jahr 2013 vor. Ab dem Berichtsjahr 2014 können für Berlin aus rechtlichen Gründen keine Bezirksergebnisse mehr ermittelt werden. Diese Seite steht unter einer Creative Commons Namensnennung 3.0 Deutschland Lizenz. "


(c) Copyright Amt f�r Statistik Berlin-Brandenburg 2019
